LotArea,YearBuilt,TotalBsmtSF,1stFlrSF,GrLivArea,SalePrice
9590,2003,868,1146,1146,187500
11404,1998,1153,1153,2031,222500
10000,1961,864,1144,1144,131400
8978,1968,948,948,948,108000
10800,1914,880,880,1768,163000
8544,1950,0,1040,1040,93500
10463,2005,893,901,1801,239900
10800,1987,1200,1200,1200,179000
9313,2004,864,864,1728,190000
9600,1910,264,768,1432,132000
6768,1961,912,912,912,142000
8450,2000,1349,1349,1349,179000
12886,1963,520,1464,1464,175000
5395,1993,1337,1337,1337,180000
8963,1976,1142,1175,2715,299800
8795,2000,952,980,2256,236000
10593,1996,1720,1720,1720,260400
8405,1945,0,1088,1529,98000
8800,1910,576,792,1140,96500
7750,2003,660,660,1320,162000
9236,1997,1479,1494,1494,217000
10240,2005,1030,1038,2098,275500
7930,1969,1026,1026,1026,156000
3230,1999,729,742,1471,172500
10769,2007,866,866,1768,212000
11616,1978,672,672,1386,158900
2280,1999,744,757,1501,179400
12257,1995,1318,1328,2531,290000
9100,1959,864,864,864,127500
6911,1924,1145,1301,1301,100000
8640,2009,756,764,1547,215200
9430,1999,1252,1268,2365,337000
9549,1995,1494,1494,1494,270000
14587,2008,1498,1506,1506,264132
10421,1988,980,980,1714,196500
12508,1940,983,983,1750,160000
9100,2004,1860,1836,1836,216837
53504,2003,1650,1690,3279,538000
7252,1982,858,858,858,134900
8877,1951,836,1220,1220,102000
7819,1976,1029,1117,1117,107000
10150,1958,912,912,912,114500
14226,2006,1935,1973,1973,395000
4500,1998,1204,1204,1204,162000
11210,2005,1614,1614,1614,221500
13350,1974,864,894,894,142500
8400,1977,0,2020,2020,144000
10530,1977,975,1004,1004,135000
7875,1995,1237,1253,1253,176000
7153,1992,761,810,1603,175900
16285,2001,1413,1430,1430,187100
9101,1978,1097,1110,1110,165500
6300,1914,742,742,1484,128000
9790,1967,1372,1342,1342,161500
10800,1915,686,966,1652,139000
10142,2004,956,956,2084,233000
6000,1954,901,901,901,107900
12205,1966,832,976,2087,187500
3182,2005,1145,1145,1145,160200
11333,1976,1029,1062,1062,146800
9920,1996,1117,1127,2013,269790
9158,2007,1496,1496,1496,225000
10832,1994,712,1086,1895,194500
8400,1980,650,888,1564,171000
8197,1977,660,1285,1285,143500
7677,1953,773,773,773,110000
13518,2008,1926,1966,3140,485000
7200,1937,731,981,1768,175000
12798,1997,616,616,1688,200000
4800,1916,1196,1196,1196,109900
8199,2005,728,728,1456,189000
13891,2008,1734,1734,2822,582933
9000,1954,936,1128,1128,118000
12274,2008,1417,1428,1428,227680
9750,1967,980,980,980,135500
21384,1923,1324,1072,1576,223500
13400,1966,1024,1086,1086,159950
10140,1974,1040,1309,1309,181000
4438,2004,848,848,848,144500
8712,1952,540,1044,1044,55993
9750,1958,1442,1442,1442,157900
8248,1918,686,686,1250,116000
12137,1998,1649,1661,1661,224900
11425,1954,1008,1008,1008,137000
13265,2002,1568,1689,1689,271000
8816,1971,1010,1052,1052,155000
6371,2009,1358,1358,1358,224000
7226,2003,798,798,1640,183000
6000,1953,936,936,936,93000
12394,2003,847,847,1733,225000
9900,1940,778,944,1489,139500
11216,2006,1489,1489,1489,232600
14803,2007,2078,2084,2084,385000
6130,1924,784,784,784,109500
8529,2001,1454,1434,1434,189000
28698,1967,1013,1160,2126,185000
2544,2005,600,520,1223,147400
11900,1957,1392,1392,1392,166000
3180,2005,600,520,1200,151000
9548,2003,941,941,1829,237000
10004,1964,1516,1516,1516,167000
7875,1961,1144,1144,1144,139950
9600,1950,1067,1067,1067,128000
8100,1948,1559,1559,1559,153500
1680,1973,483,483,987,100000
9525,1995,1099,1099,1099,144000
11767,1946,768,768,1200,130500
12155,1925,672,810,1482,140000
10440,1904,650,958,1539,157500
9020,1966,1127,1165,1165,174900
8000,1961,1800,1800,1800,141000
12665,1915,876,876,1416,153900
16647,1975,1390,1701,1701,171000
9317,1993,740,1006,1775,213000
15523,1972,864,864,864,133500
45600,1908,907,1307,2358,240000
9600,1976,528,1094,1855,187000
4435,2003,848,848,848,131500
3196,2003,1273,1456,1456,215000
7128,1941,918,918,1646,164000
12095,1964,1127,1445,1445,158000
17920,1955,1763,1779,1779,170000
6897,1962,1040,1040,1040,127000
10970,1978,940,1026,1026,147000
8125,1994,702,702,1481,174000
10400,1976,1090,1370,1370,152000
11029,1968,1054,1512,2654,250000
7642,1918,912,912,1426,189950
11625,1965,1039,1039,1039,131500
9672,1984,1040,1097,1097,152000
7931,1959,1148,1148,1148,132500
8640,2007,1372,1372,1372,250580
8750,1970,1002,1002,1002,148500
10656,2006,1638,1646,1646,248900
6970,1961,1040,1120,1120,129000
14762,1948,0,1547,2320,169000
9938,1993,1050,1062,1949,236000
6600,1962,894,894,894,109500
8750,1998,804,804,1682,200500
8892,1953,105,910,910,116000
12144,1949,832,1036,1268,133000
5720,1941,676,676,1131,66500
9000,2007,1184,1184,2610,303477
25286,1963,1064,1040,1040,132250
8834,2004,1462,1462,2224,350000
11782,1961,1109,1155,1155,148000
7000,1978,864,864,864,136500
7024,2005,1090,1090,1090,157000
13758,1990,1156,1187,1717,187500
9636,1992,808,808,1593,178000
6204,1912,795,954,2230,118500
7150,1967,892,892,892,100000
5119,1999,1698,1709,1709,328900
8393,1959,1626,1712,1712,145000
16466,1955,816,872,1393,135500
15865,1970,2217,2217,2217,268000
12160,1953,1505,1505,1505,149500
8064,1949,672,672,924,122900
11184,1978,918,918,1683,172500
8414,1963,1059,1068,1068,154500
13284,1954,1383,1383,1383,165000
7018,1979,0,1535,1535,118858
7056,1963,780,983,1796,140000
8765,1936,951,951,951,106500
7018,1979,0,1120,2240,142953
12919,2009,2330,2364,2364,611657
6993,1961,912,1236,1236,135000
7340,1971,858,858,858,110000
8712,1957,992,1306,1306,153000
7875,2003,783,807,1509,180000
14859,2006,1670,1670,1670,240000
6173,1967,876,902,902,125500
9920,1954,1056,1063,1063,128000
13501,2006,1623,1636,1636,255000
11500,1936,1017,1020,2057,250000
8885,1983,864,902,902,131000
12589,2005,742,742,1484,174000
11600,1960,1105,1105,2274,154300
9286,1977,1268,1268,1268,143500
6120,1925,768,1015,1015,88000
6270,1949,1001,1001,2002,145000
3000,2009,612,612,1224,173733
2001,1970,546,546,1092,75000
9000,1949,480,480,480,35311
17140,1956,1134,1229,1229,135000
13125,1991,1104,912,2127,238000
11029,1958,1184,1414,1414,176500
8462,1994,928,936,1721,201000
10237,2005,1316,1316,1316,169990
8012,1993,1604,1617,1617,193000
10240,1980,1686,1686,1686,207500
15611,1977,1126,1126,1126,175000
11999,2003,1181,1234,2374,285000
9900,1968,832,1098,1978,176000
11838,2001,1753,1788,1788,236500
13006,1997,964,993,2236,222000
8925,2007,1466,1466,1466,201000
9100,1965,925,925,925,117500
11670,2006,1905,1905,1905,320000
8487,2004,1500,1500,1500,190000
27650,1960,585,2069,2069,242000
5825,1926,600,747,747,79900
10083,2003,1176,1200,1200,184900
9675,2005,1113,1113,1971,253000
8760,2006,1391,1391,1962,239799
24090,1940,1032,1207,2403,244400
12640,1976,1728,1728,1728,150900
8755,1999,992,1022,2060,214000
7711,1977,1440,1440,1440,150000
25000,1967,1632,1632,1632,143000
14375,1958,819,1344,1344,137500
8163,1959,1144,1144,1144,143000
14536,2002,1616,1629,1629,270000
14006,2002,936,936,1776,192500
9360,1972,1161,1381,1381,197500
7200,1950,864,864,864,129000
7800,1965,828,965,965,119900
7200,1972,768,768,768,133900
11075,1969,784,1168,1968,172000
9400,1975,945,980,980,127500
7136,1946,979,979,1958,145000
1300,1980,561,561,1229,124000
7420,1962,1057,1057,1057,132000
8450,2003,1337,1337,1337,185000
2572,1999,696,696,1416,155000
7207,1958,858,858,858,116500
12227,1977,1330,1542,2872,272000
2308,1976,804,804,1548,155000
11923,2007,1800,1800,1800,239000
11316,2002,817,824,1894,214900
10237,2005,783,783,1484,178900
9600,1940,728,976,1308,160000
7390,1955,1098,1098,1098,135000
5925,1910,600,600,968,37900
10382,1958,588,1095,1095,140000
10800,1949,720,720,1192,135000
2268,2003,764,764,1626,173000
7892,1979,918,918,918,99500
11639,2007,1428,1428,1428,182000
11414,1910,728,1136,2019,167500
2651,2000,673,673,1382,165000
5900,1923,440,869,869,85500
4274,2006,1241,1241,1241,199900
9450,1954,894,894,894,110000
8816,1963,1121,1121,1121,139000
12122,1961,944,999,999,178400
12203,1998,1225,1276,2612,336000
3182,2007,1266,1266,1266,159895
11250,2002,1128,1149,2290,255900
10125,1977,0,1302,1734,126000
10880,1950,1164,1164,1164,125000
5310,1910,485,1001,1635,117000
10159,2009,1930,1940,1940,395192
12046,1976,848,1118,2030,195000
8125,2006,770,778,1576,197000
9452,1997,1396,1407,2392,348000
9760,1964,822,1020,1851,187000
8846,2005,750,750,1500,173900
12456,2006,1700,1718,1718,337500
4712,1946,747,774,1230,121600
10659,1961,1050,1050,1050,136500
11717,1970,1442,1442,1442,185000
9786,1922,1007,1077,1077,91000
6762,2006,1187,1208,1208,206000
10206,1952,0,944,944,82000
5400,1920,691,691,691,86000
11957,2006,1574,1574,1574,232000
11500,1976,1680,1680,1680,136905
3182,2005,1346,1504,1504,181000
8385,1977,985,985,985,149900
12155,1970,1657,1657,1657,163500
2217,1970,546,546,1092,88000
12118,2004,1710,1710,1710,240000
6000,1926,1008,1008,1522,102000
21286,1948,720,720,1271,135000
9825,1965,0,1664,1664,100000
10592,1923,602,900,1502,165000
7200,1910,1022,1022,1022,85000
11664,1948,1082,1082,1082,119200
8400,2001,810,810,1665,227000
11883,1996,1504,1504,1504,203000
5814,1984,1220,1360,1360,187500
10784,1991,384,802,1472,160000
3013,2005,1362,1506,1506,213490
7024,2005,1132,1132,1132,176000
7406,2006,1199,1220,1220,194000
9439,1930,912,912,1248,87000
3182,2005,1346,1504,1504,191000
15498,1976,1565,2898,2898,287000
7700,1972,882,882,882,112500
9300,1960,1268,1264,1264,167500
9520,2007,1638,1646,1646,293077
9492,1941,768,968,1376,105000
1680,1972,672,672,1218,118000
7082,1916,686,948,1928,160000
15863,1920,824,1687,3082,197000
14541,1993,1338,1352,2520,310000
8125,2002,1654,1654,1654,230000
6305,1938,920,954,954,119750
11500,1957,0,845,845,84000
12898,2007,1620,1620,1620,315500
9240,2001,1055,1055,2263,287000
1533,1970,546,798,1344,97000
1477,1970,630,630,630,80000
13125,1957,1134,1803,1803,155000
9130,1966,800,800,1632,173000
5381,2005,1306,1306,1306,196000
11839,1990,1475,1532,2329,262280
9600,1981,2524,2524,2524,278000
13680,1955,0,1733,1733,139600
16056,2005,1992,1992,2868,556581
9245,1994,990,990,990,145000
21750,1960,0,1771,1771,115000
11100,1946,0,930,930,84900
8993,2007,1302,1302,1302,176485
11175,2007,1316,1316,1316,200141
9500,1964,816,1127,1977,165000
8562,1957,1216,1526,1526,144500
11367,2002,1065,1091,1989,255000
11361,1976,1193,1523,1523,180000
7052,2005,1364,1364,1364,185850
29959,1994,973,979,1850,248000
11308,2008,1104,1130,2184,335000
11275,1932,854,1096,1991,220000
4920,2001,1338,1338,1338,213500
18000,1935,894,894,894,81000
6000,1925,1103,1103,1103,110500
11000,1966,1154,1154,1154,154000
14000,1996,1306,1306,2260,328000
7837,1993,799,799,1571,178000
9760,1964,780,798,1611,167900
3964,1973,942,1291,2521,151400
9600,1949,845,893,893,135000
10152,1956,1048,1048,1048,135000
11700,1968,727,829,1556,154000
7585,1948,810,1002,1456,91500
7950,1977,690,698,1426,159500
8556,2006,1240,1240,1240,194000
13125,1940,800,960,1740,219500
10800,1936,796,1096,1466,170000
15870,1969,1096,1096,1096,138800
4435,2004,848,848,848,155900
8775,1994,990,990,990,126000
11040,1971,1258,1258,1258,145000
7500,1963,1040,1040,1040,133000
8749,2002,1459,1459,1459,192000
8800,1964,1251,1251,1251,160000
13031,1995,691,691,1498,187500
9069,1992,936,996,996,147000
1974,1973,546,546,1092,83500
10574,2005,1082,1082,1953,252000
2522,2004,970,970,1709,137500
3316,2005,1247,1247,1247,197000
8544,1950,0,1040,1040,92900
2160,1999,600,624,1252,160000
8400,1925,1181,1390,1694,136500
9230,1965,864,1200,1200,146000
5868,1956,936,936,936,129000
9317,2006,1314,1314,1314,176432
6882,1914,684,773,1355,127000
3696,1986,1074,1088,1088,170000
6000,1936,672,757,1324,128000
11880,1978,1271,1601,1601,157000
8400,1920,290,438,438,60000
9758,1971,950,950,950,119500
7000,1960,1010,1134,1134,135000
8910,1959,655,1194,1194,159500
2016,1970,630,630,1302,106000
12256,1994,1463,1500,2622,325000
10357,1990,910,1442,1442,179900
23257,2006,868,887,2021,274725
8063,2000,924,948,1690,181000
11362,2004,1836,1836,1836,280000
8000,1995,773,773,1658,188000
10480,1976,803,1098,1964,205000
7100,1957,816,816,816,129900
8923,1953,1008,1008,1008,134500
5400,1954,833,833,833,117000
12085,2007,1734,1734,1734,318000
7750,2002,408,779,1419,184100
9764,1967,894,894,894,130000
13825,1958,533,1021,1601,140000
7560,1959,1040,1040,1040,133700
8263,1920,1012,1012,1012,118400
10084,2005,1552,1552,1552,212900
8926,1956,672,960,960,112000
9405,1947,698,698,698,118000
9125,1992,384,812,1482,163900
10434,1955,1005,1005,1005,115000
3684,2007,1373,1555,1555,174000
14572,2004,1530,1530,1530,259000
11796,2004,847,847,1959,215000
7200,1980,936,936,936,140000
7804,1928,1122,1328,1981,135000
10712,1991,974,974,974,93500
9828,1995,1128,1142,2020,239500
8773,1997,916,916,1600,169000
6180,1926,960,986,986,102000
9600,1950,1032,1032,1252,119000
9819,1977,1567,1567,1567,196000
8731,1920,915,1167,1167,144000
7350,1951,952,952,952,139000
10304,1976,780,1088,1868,197500
9965,2006,1466,1466,2828,424870
9000,1959,1006,1006,1006,80000
12180,1941,672,672,924,80000
6240,1928,1042,1042,1576,149000
11200,1985,1298,1298,1298,180000
12000,1941,704,860,1564,174500
5700,1926,572,572,1111,116900
9000,1920,650,832,1482,143000
8280,1950,932,932,932,124000
17755,1959,1466,1466,1466,149900
14115,1956,1073,1811,1811,230000
5890,1930,816,816,816,120500
13700,1965,864,902,1820,201800
10768,1976,1437,1437,1437,218000
9350,1965,1219,1265,1265,179900
5001,2007,1314,1314,1314,230000
11932,2007,1580,1580,1580,235128
9120,1974,901,943,1876,185000
2280,1978,855,855,1456,146000
14778,1954,1296,1640,1640,224000
8724,1968,894,894,894,129000
12900,1969,1198,1258,1258,108959
16157,1978,1360,1432,1432,194000
9541,2009,1502,1502,1502,233170
10475,2008,1694,1694,1694,245350
10852,2000,959,959,1671,173000
13728,1935,1127,1236,2108,235000
35760,1995,1930,1831,3627,625000
9880,1977,1096,1118,1118,171000
9120,1958,1261,1261,1261,163000
4017,2006,625,625,1250,171900
18030,1946,1598,1636,3086,200500
16560,1932,952,1170,2345,239000
10678,1992,1683,2129,2872,285000
6951,1984,876,923,923,119500
3950,1926,818,818,1224,115000
7681,1921,731,820,1343,154900
8335,1954,0,1124,1124,93000
11170,1990,1216,1298,2514,250000
5587,2008,1600,1652,1652,392500
10800,1920,1120,1130,1130,120000
35133,1963,1572,1572,1572,186700
9738,1924,784,949,1221,104900
12461,1994,1624,1624,1624,262000
8935,2002,831,831,1660,195000
7500,1999,994,1028,1804,189000
32463,1961,1249,1622,1622,168000
2645,1999,776,764,1441,174000
9600,1925,702,842,1472,125000
4500,1999,1224,1224,1224,165000
9364,1969,663,663,1352,158000
8029,2005,728,728,1456,176000
14054,2006,879,879,1863,219210
8850,1916,815,815,1690,144000
9100,2001,1212,1212,1212,178000
11235,1963,1051,1382,1382,148000
9353,1970,864,864,864,116050
10400,1998,866,866,1779,197900
6000,1925,884,884,1348,117000
9750,2000,1630,1630,1630,213000
10140,1975,1056,1074,1074,153500
14684,1990,2158,2196,2196,271900
8900,1966,1056,1056,1056,107000
9135,2003,1682,1700,1700,200000
7763,1962,931,1283,1283,140000
10182,2006,1660,1660,1660,290000
11218,1992,1055,1055,1845,189000
12134,1988,559,1080,1752,164000
9340,1941,672,672,672,113000
10246,1965,648,960,960,145000
10205,1962,925,999,999,134500
7094,1966,894,894,894,125000
8930,1978,0,1318,1902,112000
8640,2009,1300,1314,1314,229456
6240,1947,0,672,912,80500
1680,1971,672,672,1218,91500
7800,1964,912,912,912,115000
8250,1968,952,1211,1211,134000
10496,1949,1040,1168,1846,143000
10680,1951,2136,2136,2136,137900
15384,2004,788,788,1490,184000
10482,1958,588,1138,1138,145000
14598,2007,894,894,1933,214000
8872,1965,912,912,912,147000
8769,2008,1702,1702,1702,367294
7910,1960,1075,1507,1507,127000
18890,1977,1361,1361,2620,190000
7728,1962,1106,1190,1190,132500
9842,1962,0,1224,1224,101800
12160,1959,1188,1188,1188,142000
8525,1911,940,1024,1964,130000
13132,1914,747,892,1784,138887
2628,2003,764,764,1626,175500
12393,2004,847,847,1948,195000
13072,2005,1141,1141,1141,142500
9037,2006,1476,1484,1484,265900
8158,2003,884,884,1768,224900
9849,2007,1689,1689,1689,248328
10625,1974,1053,1173,1173,170000
13891,2006,2076,2076,2076,465000
11435,1929,792,792,1517,230000
12090,1984,585,1140,1868,178000
8125,2005,756,756,1553,186500
12328,1976,1012,1034,1034,169900
9600,1917,735,1134,2058,129500
7200,1950,876,988,988,119000
11160,1968,2110,2110,2110,244000
3136,2003,1405,1405,1405,171750
9858,1968,864,874,874,130000
17542,1974,1192,1516,2167,294000
6931,2003,746,760,1656,165400
6240,1931,884,959,1367,127500
14303,1994,1986,1987,1987,301500
4060,1922,864,864,864,99900
9587,2005,856,1166,1166,190000
9750,1969,1054,1054,1054,151000
24682,1999,841,892,1675,181000
9600,1956,1050,1050,1050,128900
11250,1957,1104,1104,1788,161500
13515,1919,764,1060,1824,180500
4060,1998,1405,1337,1337,181000
3735,1999,691,713,1452,183900
10120,1910,925,964,1889,122000
13214,2008,2002,2018,2018,378500
14100,1935,728,1968,3447,381000
11344,1958,874,874,1524,144000
23595,1979,1332,1332,1524,260000
9156,1968,1489,1489,1489,185750
13526,1965,935,935,935,137000
11512,1959,1019,1357,1357,177000
5362,1910,661,661,1250,139000
11345,1948,928,928,1920,137000
12936,1972,723,735,1395,162000
17871,1967,1680,1724,1724,197900
9473,2002,1128,1128,2031,237000
7500,1920,698,698,1128,68400
9808,2002,1573,1573,1573,227000
8049,1990,1309,1339,1339,180000
8800,1977,1040,1040,1040,150500
9400,1971,912,912,1824,139000
9638,1919,804,1699,2447,169000
6000,1939,780,825,1412,132500
9790,1963,1328,1328,1328,143000
36500,1964,1624,1582,1582,190000
5664,2000,1501,1659,1659,278000
11065,2006,1085,1120,1970,281000
14112,1964,1152,1152,1152,180500
1680,1972,630,630,1302,119500
10140,1976,832,832,1664,162900
8172,1955,864,864,864,115000
8400,1968,1052,1052,1052,138500
8700,1963,1120,1128,1128,155000
3675,2005,547,1072,1072,140000
7500,1959,1246,1246,1246,154000
10762,1999,978,1005,1983,225000
7500,1942,771,753,1494,177500
10120,1994,1165,1203,2526,290000
8688,2005,1616,1616,1616,232000
3363,2004,976,976,1708,130000
13173,2006,1652,1652,1652,325000
6955,2005,1368,1368,1368,202500
8072,1994,990,990,990,138000
12000,1948,924,1122,1122,147000
7153,1991,1278,1294,1294,179200
17500,1959,1902,1902,1902,335000
8814,2005,1274,1274,1274,203000
9572,1990,1453,1453,2810,302000
14774,1999,1393,1422,2599,333168
8190,1954,948,948,948,119000
11075,1969,952,1092,2112,206900
10226,2008,1622,1630,1630,295493
4230,2006,1352,1352,1352,208900
14781,2001,1753,1787,1787,275000
10215,1954,864,948,948,111000
8400,1957,1478,1478,1478,156500
6627,1949,0,720,720,72500
10186,1992,750,1061,1923,190000
5330,1940,420,708,708,82500
9986,2006,1795,1795,1795,147000
3636,1922,796,796,796,55000
4270,1931,544,774,774,79000
6600,1982,816,816,816,130500
10440,1920,1510,1584,2792,256000
9084,1998,935,955,1632,176500
10000,2006,1588,1588,1588,227000
10780,1976,911,954,954,132500
8877,1938,816,816,816,100000
7200,1938,803,803,1360,125500
2368,1970,765,765,1365,125000
9650,1977,1350,1334,1334,167900
9246,1973,1656,1656,1656,135000
4118,1941,693,693,693,52500
13450,2002,916,920,1861,200000
9560,1972,864,864,864,128500
8294,1971,858,872,872,123000
13695,2003,1114,1114,1114,155000
9375,2002,1284,1284,2169,228500
7558,1928,896,1172,1913,177000
11103,2006,728,728,1456,155835
6000,1920,960,960,960,108500
20781,1968,1568,2156,2156,262500
15306,2006,1732,1776,1776,283463
16196,1998,1482,1494,1494,215000
11643,1969,1248,1338,2634,200000
9247,1962,858,858,1716,171000
6000,1937,698,786,1176,134900
14720,1995,2033,2053,3238,410000
10316,2000,992,992,1865,235000
10192,1968,570,1222,1920,170000
9477,1966,864,892,892,110000
12537,1971,1078,1078,1078,149900
2117,2000,756,769,1573,177500
16737,2004,1980,1980,1980,315000
9842,1921,612,990,2601,189000
16158,2005,1530,1530,1530,260000
12513,1920,715,1281,1738,104900
8499,2006,616,616,1412,156932
3180,2005,600,520,1200,144152
7500,2000,814,814,1674,216000
9179,1999,873,882,1790,193000
2665,1977,757,925,1475,127000
4435,2003,848,848,848,144000
10635,2003,1657,1668,1668,232000
5400,1920,840,840,1374,105000
9600,1955,992,1661,1661,165500
9750,1998,1108,1108,2097,274300
11400,2001,2633,2633,2633,466500
10625,2005,1026,1026,1958,250000
10991,2007,1571,1571,1571,239000
6292,1930,768,790,790,91000
10998,1941,984,984,1604,117000
1953,1973,483,483,987,83000
9735,2006,384,754,1394,167500
8212,1914,864,864,864,58500
12925,1970,1205,2117,2117,237500
7200,1920,596,998,1762,157000
25339,1918,816,1416,1416,112000
9060,1939,560,698,1258,105000
5436,1922,796,796,1154,125500
16692,1978,1392,1392,2784,250000
8520,1916,714,1664,2526,136000
14892,2006,1746,1746,1746,377500
6000,1941,735,869,1218,131000
9100,2000,1525,1525,1525,235000
8944,1967,1584,1584,1584,124000
7838,1967,864,900,900,123000
10800,1905,482,1221,1912,163000
4045,2006,1356,1500,1500,246578
12665,2005,1094,1133,2482,281213
57200,1948,747,1687,1687,160000
6120,1920,939,939,1513,137500
7200,1950,1208,1136,1904,138000
6171,1925,976,1160,1608,137450
6000,1929,862,950,1158,120000
7415,2004,839,864,1593,193000
6762,2006,1286,1294,1294,193879
15256,2007,1485,1464,1464,282922
10410,1915,672,694,1214,105000
3842,2004,1594,1646,1646,275000
8445,1972,768,768,768,133000
8780,1985,833,833,833,112000
7740,1910,622,741,1363,125500
20544,1986,791,1236,2093,215000
12420,2001,944,944,1840,230000
9600,1950,856,1112,1668,140000
7200,1949,0,1040,1040,90000
10994,2005,1844,1844,1844,257000
13053,1923,833,1053,1848,207000
3635,2007,1386,1569,1569,175900
16545,1998,1284,1310,2450,340000
9204,1963,1144,1144,1144,124000
16381,1969,1844,1844,1844,223000
11700,1968,708,708,1416,179900
4043,1977,1069,1069,1069,127500
4435,2003,848,848,848,136500
19690,1966,697,1575,2201,274970
9503,1958,1024,1344,1344,144000
10721,1959,1252,1252,1252,142000
10944,1994,1223,1223,2127,271000
10930,1945,913,1048,1558,140000
7200,1940,788,804,804,119000
12546,1981,1440,1440,1440,182900
21930,2005,732,734,1838,192140
4928,1976,958,958,958,143750
10800,1927,656,968,968,64500
10261,2000,936,962,1792,186500
17400,1977,1126,1126,1126,160000
8400,1962,1319,1537,1537,174000
9000,1971,864,864,864,120500
12444,2008,1932,1932,1932,394617
7407,1957,912,1236,1236,149700
11584,1979,539,1040,1725,197000
11526,1922,588,1423,2555,191000
4426,2004,848,848,848,149300
11003,2008,1017,1026,2007,310000
8854,1916,952,952,952,121000
8500,2004,1422,1422,1422,179600
8400,1966,814,913,913,129000
26142,1962,1188,1188,1188,157900
10000,1995,1220,1220,2090,240000
11767,1910,560,796,1346,112000
1533,1970,630,630,630,92000
9000,1974,896,896,1792,136000
9262,2008,1573,1578,1578,287090
3675,2005,547,1072,1072,145000
17217,2006,1140,1140,1140,84500
7500,2004,1221,1221,1221,185000
7917,1999,953,953,1647,175000
13175,1978,1542,2073,2073,210000
9042,1941,1152,1188,2340,266500
9717,1950,1078,1078,1078,142125
9937,1965,1256,1256,1256,147500
